2avatcom  (tutor    a, 28 blocks)
  1 | 50 | 05/17/84 | 03/07/94 | s | s | David Si | es | UI BE{70} | bR | see "auth | ors" | space simu | lation | all | strategic | space simu | lation | 15.19.41. | dave runte | e | s | coserv | coserv | publish | i4a÷* | avatarbv | mu2+ «{75} | 0catnote | coserv | s0edit | 5 | e

=== block '*directory'  kind 00  0 words  (block 0)
s4u=6c1dnrr5]h÷c⌫h]l}+ab-wh5tq⌫d;z⌫b*;;npffuobbe7tv8[9[etagBasilisk
sr{75}7baxaaahah=f÷c{75}f[={^74}s×efdl;>{'00}5w;⌫mxc8J26d{75}tv77l[adacWerebear
s]÷$ca/ach6mh.5c~$?]sa5whtoh↑>{'00}co;;ntcegjcd$

=== block 'dungeoncom'  kind 41  320 words  (block 21)
tv8[9[iat(Unused Slot)
tt)6a1aahadh+9j5gpdj↑>;hb4;;mhcc⌫b56dhtv76p6dp6sbhmonster 1
rpd3%÷hrarplxa]pz3b÷[×fwp«vf=6+-l «,l 6+)f{75}5p











ta8monster 2
w/rpb7q7pl7a÷dnp7ppn55xbwpsll/uxd,+×d,÷+<d.58B










n+monster 3
7(-fl[/bmp53bm56,fc5s/f,p+D÷+δ












waμonster 4
dq5hd7-he]÷pfq×lf]5⌫h«h=tn÷6zhk58=h[6-ph]q-zd%ag<b;5p










taqmonster 5
ae/<jea[3beqa↓dd6fkgsnj2qd,b*÷+zd[↓nd]6fjf÷p-7d










oafmonster 6
au(⌫fpaq↓dp[bdhtqfg26etfk5«7b÷5vvb%75












ybxmonster 7
g[alhqadph[6hpiqalhjbardj[l
        o6<lt65f6w68lk÷ 7l×6gdd{'61}glh;5









sabmonster 8
a«
        nhpp6tdqabrdt55li÷$phk÷0,h-8b↓5-↓d
        ÷*pdπp











n↓monster 9
be)jbq÷7ldsp7-d÷Luw8↓b75vD{'00}*rdp












ya«monster 10
bujtjl%j3juar]n[xluv[bJx5q9ezqs÷j85t5j*p×⌫b/5*hd<5*vd⌫*×j{^60}w↓b{^60}p









ya9monster 11
b+j)lvq]×fa6xruw[8blx6sfdl50<j8[t<f*5uhb×÷91bPv<d
        p*xb⌫↑/b{^60}p









ua9monster 12
ta7]nv6plubr/tub%
        9ez6s3f3qtdj7÷×=f*5uhd↑÷*zb⌫↑-b{75}pb










vb
        monster 13
b7j=tcjhr[a7$vtzq8⌫l5[9jt6[91h179)t-p9⌫h«af⌫h⌫a*-d{75}*)b










xcymonster 14
c1j,tcg/r(a+kzl379bp6a9plc]=zh89↓d*a9⌫h17f5d«÷-÷d⌫a*-d{75}pv=d









0b(monster 15
m5/1[cd/rm068-l0a9t4]9lt-59↓d/[89x+7÷t«qf,h↓9rh/p*3h⌫-5d{75}÷w÷l«65b








e5witem 1

h6ygisibeg÷yu9÷5vdb÷5p




=== block 'dungeoncom'  kind 41  320 words  (block 22)










h5a$item 2

h8
        (h↓ybkiw/5umpx{^03}=p













g5a3item 3

h9h7(h↑(bihe()cg÷x{^03}=p













i5a.item 4

i6/+uh↓ybmiei)cg÷x{^03}h7x













g5anitem 5

i6/*ghq(h(mpx{^03}h7ydsh7x













h5asitem 6

i7x/{75}icibmkby)cg÷yd4h7x













h5*item 7

i÷x)(hp
        xqmpx{^03}i5(dgh7x













i5;item 8

i÷{'54}%hqyxqj[y)cg÷ylmh7x













i5anitem 9

i[/,{75}hqyv0mpx{^03}g÷ylsh8h













h5Item 10

jx÷%hq(z4g÷ynei5
        dgh7x













g5(item 11

jx](hq(nei6idig[h














g59item 12

j/×yhqinii6(dmg÷/














g54item 13

hqh↓6jpypei÷
        lgg÷/














g5oitem 14

hp/Gjpypei÷
        lgg÷x














g5 item 15

hq/<(j5yrgjainkg[/
















blank

zd⌫%hdp














o5afstat changers
-qd×j-[tD*qd⌫h)«vh$«zf)5+rd][vtjg×B↑pp


=== block 'dungeoncom'  kind 41  320 words  (block 23)










n59cursed items
,pu×d,[eL%q-jb[5vxb[÷vhl]vrb<5v9h×6f9p×7f9p×7f9p×7f9p×7f9p









v5bause a

aprhc75-5gdadxka65pm67h5s÷7÷pw6cnd0p89d2÷u-p×÷*×b{^00}tjbj.










k5a%scrolls

7r×th7[dxp8qd1h8]d5h9r;+↓r-]/↓u;+g⌫/;+g⌫/;+g⌫/











l5clrods

4]dp57db9499fp6dc<5↓×f×p↓u;
        g;i<hg<h












h5appotions

(×elx$6+5p=s+3/]÷-<d













w5bkuse b

ap5thc]5/5gtaf5ksa7tm]bjxt7øz81d1÷8÷d bf/d⌫pv3h>÷9β↑pb









25bjuse c

a55vhdb5)5ida1ll76÷dnqa@q8b7dxacrd0÷8/d3p+)n<÷v)d⌫5*]b66dnh{^60}w<b.pub/ppb








25b0use d

a÷5xhdr5=5g9aj5ja63ll[6×lpdbnxt58bhz585d2p8×d 7f=d⌫v5hp[g-d↓w⌫b;÷v⌫bpb








u5bhuse e

e×@i9arln[7b5rdbths7-dvp7↓dx6cvd3÷+,lma-,df57fh{75}ag/h










s5d/use f

mfioj9a{'40}p/bsr[bzh,dg)h>t↓hfhaa×tg=p÷÷5]d7acfp4acH










k5a.cubes

96×-h+×)f+5×,f/÷«hj{'00}v@g;:;












l5b«spheres

↓vgb5{'64}gdp
        bgjp
        7grp<da⌫fg;{75}dfg;;xd>÷












d5abburnables
g{'76}{^36}os↑b














daewater 1-3
cewzgqxf














cafwater 4-9
gjar/k7/















b3slimes

a+a=tf5pb





=== block 'dungeoncom'  kind 41  320 words  (block 24)










e<slimes big
a6q=tf+bb/v÷÷b














fwwater 10-12
k÷yrlyb8jf9p67c














gapgiants 7-11
s7bv/sead/qa5)hm÷5














n5afweapons 15
u])b4a7,dwa8hdx%cjhv7clp
        ]atq%5r=bp












e51dust

>*,b-w1/(q;qg<h














kahstuds 15

g÷>7h$5+35)derd7r3o>5*7h⌫7













oadanimals 7-12
l5s/d2p9øk5]T27-hhc%,pxqc÷f3p+hdp












ka{75}dragons 10-15
lp,fpa6hx89b3÷8vc9÷{75}]frb=q5













h$water 13-15
l5<↓d6÷t7f(q+l1(%f]d













h7pud zone

q5dlaq5nfcq5vf=÷%5b













e54item 16

hrh<qj5
        rkja
        nmi6(dmh6(dm













u/men 4-6

p÷77h)5↓dbe[3bd58nd[÷-bh×p55dg55=d]5βhpq<bt5sb×5p










gadmage 9-12
xdcf5÷9c3d×]f9l×qb













qWanderer

Wanderer

Wayfarer

Wayfarer

Traveler

Traveler

Pioneer


Pioneer


Rover


Rover


Roamer


Roamer


Explorer

Explorer

Journeyer

Adventurer

Voyager

=== block 'dungeoncom'  kind 41  320 words  (block 25)


qFoot Soldier

Warrior


Warrior


Slayer


Slayer


Mercenary

Mercenary

Swashbuckler

Swashbuckler

Champion

Champion

Swordsman

Swordsman

Hero


Hero


Master Swordsman

Warlord


iInitiate

Initiate

Guardsman

Guardsman

Slayer


Slayer


Weapons Master

Weapons Master

Ninja


























qRogue


Cutpurse

Cutpurse

Robber


Robber


Burglar


Burglar


Filcher


Filcher


Sharper


Sharper


Magsman


Magsman


Thief


Thief


Thief


Master Thief

pCharmer


Enchanter

Enchanter

Master of Charms

Master of Charms

Master of Enchantments
Master of Enchantments
Conjurer

Conjurer

Illusionist

Illusionist

Apparitionist

Apparitionist

Master of Illusions
Master of Illusions
Magician




hAlchemist

Alchemist

Necromancer

Necromancer

Sorcerer

Sorcerer

Sorcerer

Sorcerer




























iAttendant

Attendant

Rejuvenator

Rejuvenator

Restorer

Restorer

Shaman


Shaman


Healer


























eSoothsayer

Soothsayer

=== block 'dungeoncom'  kind 41  320 words  (block 26)

Astrologer

Astrologer

Wizard






































lPick Pocket

Rogue


Rogue


Thug


Thug


Henchman

Henchman

Forager


Forager


Smuggler

Smuggler

Scavenger
















nGuide


Scout


Scout


Path Finder

Path Finder

Locator


Locator


Seer


Seer


Oracle


Oracle


Clairvoyant

Clairvoyant

Seeker











mAttendant

Attendant

Guard


Guard


Guard


Sentinel

Sentinel

Sentinel

Defender

Defender

Champion

Champion

Paladin














qScoundrel

Crook


Brute


Brute


Thug


Thug


Criminal

Criminal

Felon


Felon


Smuggler

Smuggler

Extortionist

Extortionist

Kidnapper

Kidnapper

Villain





































































=== block 'dungeoncom'  kind 41  320 words  (block 27)


























































































minor cure
d5bdpxcf
hphxp6;ccure

h5ddt÷fl
lpl5p6;cminor healing
l5fh+hf 
p5p/56{^00}cmajor cure
p5hmi5gn
t÷x{'60}a⌫cheal

t5jnq5g.
5ap(5a⌫crestoration
x5hc{75}H[rah
a5a⌫crestore flesh
ah5h
k↑xbp
d5aa⌫fprotection
d5d5
e$=
p5[a;dresist breath
l5h5
g.⌫
5b5la{^00}dresist magic
l5l5
f ×
xbha{^00}dsoul veil
t5p5
g.⌫
pb5a÷a{^00}dfeather essence
l5t5
gn{70}
a5faa{^00}dsight veil
l5x5
f ×
a5d6{^00}dcharm of unveiling
h515
fl÷
lya6{^00}dresist poison
h555
fl÷
l55a;damphibious essence
h595
fl÷
xa5a{^00}dcure poison
p5,
gn{70}
xat5a⌫dcure disease
t5]
g.⌫
1a9{'00}a⌫dsummon presence
x5
hpa
⌫a⌫pcharm of freedom
d5<
e$=
p÷a;dwake

d5{76}
e$=
hphxp6;draise dead
x5
cxpz
ba⌫frestore soul
÷5d
c<t3
ca⌫fdisplacement
t
gja÷
bpa{^00}gteleport

tl
h,vbh
d5a⌫gset sanctuary
d5x
p6bdhp6bdia⌫jsanctuary
÷/
ht3
f5ca;hethereal portal
1
c(rbp
5ha{^00}i*unused b
m5
a{70}
charm of opening
l
cf a$rffa⌫kdetect rock
p
gn1
ba{^00}ldetermine depth
l
f z
fa⌫mdirection
p
gn1
ja⌫nsoul search
t5
g,a5
xhaa⌫ocontrol humanoid
/hda-5pphe$×
h6>econtrol undead
/hh/a(afn÷
5a>econtrol animal
/hha*afl{70}
daa>econtrol monster
/hpa*5gna
pa>econtrol giant

=== block 'dungeoncom'  kind 41  320 words  (block 30)
/hxa/ahpah
la>econtrol dragon
/h5a/6irap
ta>edominate demon
/hxa(6gry
xapa>edominate devil
/hp/a)ag%2
1a÷a>edominate elemental
/hta)6flr9
pa>esoul entrapment
/h{'00}a$aiv+t
5a>edispel undead
a{^74}ta$(jm5d=l
aa5a>bbanish demon
axxt/a=kjm5fnr
ab5a>bbanish devil
attxa=$fm5f.t
asa>bdispel elemental
a=xx/a gk[G.4d
]5a>bdazzle

adfd/b,ce+5gf÷
ha5a>bnerve blank
9ddo9h{75}5e*
da>blight spray
adhpapb,+kipg(÷
lba>bsummon shade
a/pta{'00}b,*g2pg=ah
pa>bflickering doom
a=5xb5bn(g{75}phma5
ta>bprecognitive death
bsh1c÷bohk{75}piola÷
1a
        bpoison

ahpptbpfu+5ejra÷
xbah5a>bword of death
br=/a{'00}bfte
        pj«9b/
cfba
        atouch of draining
a÷95/bfreai%5bx
bt5a
        aresist paralysis
t5(5
gpl÷
t[b5a⌫dfear

arrhb÷7h/÷d5

>b*unused a
c
a
shock

9dd/a97d6hfah
ha>alightning bolt
ajnla99d
        hgf÷
xa>athunderbolt
al3xa9-e2hhf÷
/a
        astatic mesh
a]=9a9/fahifah
{'00}a
        alightning field
bv×=a9/f2xhla5
aha
        afirebolt

/jhac7d hgi
pa>aflamesheet
ajtta89eehg,
5a>asphere of fire
a,75a8/e(hh[a{70}
÷a>apillar of fire
a]=9a8)fahi%bh
aa
        aburning air
bx⌫÷a8=f+hkpbx
apa
        aice spray
/hha9bd he5ah
pa>afreezing air
a×]=a9pfmhjsah
aa
        ahail storm
alxta9heqhg5ax
5a6>aarctic storm
a÷/xa9je«hiora÷
÷a
        apower

altqbe)d{75}pg.xa{70}
ar5a>a*unused c


a
eth don't change
ld5÷5

a;dcause wounds
9ddba7dye$pax
hp55a>acause heavy wounds
ahllbefd f ta/
p[5aa>aharm

a,1xbe,eaph[1bh
a%5a
        alight cure
d5bdp/

{^00}c*hurt me hurt me!




fate

d
a8o3a5

⌫qharm





detect rock




fear





mmm

bp÷5a-bch×(9bp
tp
        alll

/5jjtychp⌫h











You have been destroyed.
xYou are now a statue.
uYou were aged.

=== block 'dungeoncom'  kind 41  320 words  (block 31)

oYou have been drained.
vYou have been slept.
tYou have been paralyzed!
yYou were poisoned.
rYou were diseased.
rAn item was destroyed!
vMust be used in combat.
wMust be used out of combat.
0Item is not properly aligned.2You are not familiar with its type.8You are not strong enough.
zYou are not intelligent enough.4You are not wise enough.
xYou are not healthy enough.
0You are not charismatic enough.4You are too clumsy.
sYou don't have enough spell points.8That item is out of charges.1Magic is ineffective here.
zNo spell loaded in that slot.2Player is dead.

oPlayer is not dead.
sCompanion is dead.
rCompanion is not dead.
vMust be in the same room.
yUnknown monster.

pToo far back in company.
xPerson is stoned.

qTakes too long to throw when peaced.9No magically locked chest.
zCannot be thrown while tracking.5Which spell

kThat item is in the bank; you are not.-That item is too powerful for you.7Cursed/bad alignment item in use.6Two-handed weapon in use.
yShield in use.

nClass cannot use.

qLow strength.

mLow intelligence.

qLow wisdom.

kLow constitution.

qLow charisma.

mLow dexterity.

nThat item does not cast any spells!8You don't know the trigger word.5Item must be in use to use "P".4No TERM if poisoned or diseased.9THIEF!

fAn attempt to snag an item failed.7Spell failed!

mYou have burned yourself out!+Yelling for HELP!
qCast spell from item #
vp-player DATA-self  (1-4)-companion8Which page? (1,2,3,4) »
wUse/unuse item #

pTrack whom

jDrop item #

kFetch whom

jPick up whom

lAlready being carried.
vNot dead.

iNot here.

iAlready being raised.
uNot in rock.

lIn quicksand; you are levitated.5Cannot be tracked or picked up.4Already in company.
sDead.


eNot here.

iOppositely aligned company.
0An item and some gold were destroyed!+Some gold was destroyed!
xAn item was destroyed!
v


















=== block 'save'  kind 41  320 words  (block 32)
g3a↑chxj
a{76}

alan m

summitdp
allanon

renaulth5
andrew

lockd4p
austin s

utmedha
barnes

csshap
baumann

oda5
benja

osasda÷
bilger

bizarredb
bill

ouhealthdbp
blackmore
codershb5
bob munro
viennadb÷
boy

monmouthhc
brad

jprdcp
brad

renaulthc5
brian

pswdc÷
brian

refugeesdd
brian ries
financehdp
buckner

hstennhd5
buckner

utpharmhd÷
bucksath

ohhe
carroll

summitdep
carroll d
guestsde5
curtis

semo/f
curtis

ues/fp
c lopez

algadf5
dan weber
duosoftdf÷
dave

pasrhg
david d

algadgp
davis

ouhscdg÷
dunn

hfsdh
eastom

polyscithp
eddie

hopkinsdh5
eichelkraut c
guestsdh÷
finn

timusichi
foley

eddip
franks

fjfdi5
fred

algadi÷
fred

cosmosdj
gary c

musicianhjp
gary leisky
pcpzdj5
gaucho

dazeddj÷
gene

ouhealthdk
german

csodkp
glenn

brainsdk5
glenn

oumeddk÷
goldberg

polyscittl
gregory

wright2dlp
hank

brainsll5
hartsell

oumeddl÷
hinchcliff
pcpadm
hrw

ecadmp
irby s

utmedhm5
jim brown
unidm÷
jlw

pdqdn
jones

pcpzhnp
jon m

jprdn5
j hegarty
summitdn÷
kirk

ouhscddo
kreft

ecadop
kreft

trolldo5
lehman

edosdo÷
l rose

commercedp
maggs

lockhpp
marc t

jprdp5
marlin

polyscidp÷
marshall

oumeddq
matt

orionshqp
mccormick m
guestshq5
mike

edosdq÷
mitchell

lawyerdr
mui

brainsllrp
murray

mcldr5
nancy

uifinhr÷
nat

algahs
nate

jprddsp
ohara

shs5
otto

economichs÷
paley

algebrad

=== block 'save'  kind 41  320 words  (block 33)
dt
partain

arotcdtp
patterson r
utdentdt5
pellett

gistdt÷
peltz

s/u
plano w

guestsdup
porter k

utdentdu5
powell

oumeddu÷
prince

illinilv
prouty

chemprocdvp
prouty

propmandv5
p gruenenfelder
grahamdv÷
p parker

algebrahhw
quentin

arotcdwp
radcliff b
guestsdw5
randy pilcher
relw÷
raymond

polyscihhx
ray k

utdentdxp
rick

parkadx5
rosenberger
uifindx÷
sargent

cicdy
sargent

intercomdyp
sargent

summitdy5
satinoff

brainsdy÷
schumacher
pcpahz
sides

lock/tzp
sjs

pcpdz5
sjs

pegdz÷
sjs

polyscid0
steve

algad0p
stewart

mcad05
sweetser s
guestsd0÷
thomsen

commercehh1
tryboski

chemproch15
valerie

polyscid1÷
wayne

osasd2
wayne

polyscid2p
williams hugh
edd25
worley

chemprocd2÷
worley

ecad3
worley

financed3p
zaffron

mfll35



























































































































































